Rank,Title,Username,Rating,Score,Performance,Team
217,,Luis-albertolopez,1788,18,1752,
218,,vizzztor,1468,18,1720,
219,,Cappe_73,1724,18,1660,
220,,cucotechi,1521,18,1621,
221,,Martyteikas,1601,18,1597,
222,,horrorchess89,1415,18,1593,
223,,omar26rn,1327,18,1572,
224,,Bsdc1,1461,18,1533,
225,,Ignis1,1431,18,1472,
226,,VicOrange,1161,18,1467,
227,,Ponce21,1450,18,1466,
228,,Farrokh13,1430,18,1459,
229,,turbinh0,1335,18,1417,
230,,Kravick,1392,18,1392,
231,,DGA17,1380,18,1379,
232,,FrankieSV,1286,18,1361,
233,,Raycol,1166,18,1315,
234,,Rabichess,1039,18,1188,
235,,Heinemansito,1920,17,1987,
236,,sebastianchang90,1881,17,1711,
237,,MrFire123,1795,17,1678,
238,,kivir-s-h,1804,17,1631,
239,,jarith2210,1418,17,1585,
240,,Guevara_Tarton_2006,1384,17,1491,
241,,Flaviusbelisaurus,1219,17,1452,
242,,CrockyCrin,1420,17,1375,
243,,Yurisan,1326,17,1345,
244,,MarkusVinicius,2289,16,2107,
245,,mauriciovirsan,1856,16,1865,
246,,Itha1sbjs5268,1783,16,1824,
247,,ZonaAnime,1751,16,1799,
248,,TataEncubierto,1557,16,1799,
249,,deltibero,1475,16,1766,
250,,Guadi_x,1360,16,1751,
251,,XePepe11,1587,16,1738,
252,,Rayda14,1869,16,1714,
253,,Black-ReaperV5,1543,16,1668,
254,,Ruben_chess64,1811,16,1664,
255,,TomasLuna58,1470,16,1604,
256,,F_Prieto,1571,16,1599,
257,,Josse10manuel,1908,16,1595,
258,,LoisChess123,1732,16,1595,
259,,Angeldrez01,1560,16,1576,
260,,danichaso,1574,16,1569,
261,,joao2520,1600,16,1564,
262,,b_a_s_a_g_o,1524,16,1556,
263,,JuliusMeza,1468,16,1553,
264,,JesusRamiguti,1700,16,1520,
265,,Spano1524,1382,16,1490,
266,,Davi_10,1334,16,1459,
267,,Ruchi7,1315,16,1417,
268,,cocolyions,1500,16,1378,
269,,ricsalinas,1231,16,1359,
270,,S-Chabela,1387,16,1350,
271,,DiegoSanchez15,1366,16,1349,
272,,aguilar9914,1312,16,1322,
273,,Muymaloo,1318,16,1307,
274,,Wakinnebis,1179,16,1280,
275,,Raul_Pocinho,1401,16,1265,
276,,BrayanA22mvp,997,16,1256,
277,,Diegich14,1081,16,1037,
278,,Pelzigeachsel,2429,15,2304,
279,,penultimoError,1594,15,1608,
280,,Ricardo_Mejia,1525,15,1569,
281,,pablal,1230,15,1368,
282,,GregoValsa,1363,15,1328,
283,,GeGochess,2282,14,2066,
284,,crispo1500,1393,14,1802,
285,,ecardoso85,2011,14,1732,
286,,Carlnus_Magsen90,1713,14,1668,
287,,JmL4evr,1522,14,1553,
288,,Luis_GR,1546,14,1535,
289,,MoiMaster,1676,14,1535,
290,,EUSAN,1532,14,1521,
291,,EVO_MORALES_AYMA,1514,14,1481,
292,,soyesepeasoderuben,1468,14,1424,
293,,rogelito01,1367,14,1389,
294,,JFK1963,1292,14,1350,
295,,SOYARGENTO,1259,14,1324,
296,,Gabriel_Villarreal19,1189,14,1320,
297,,nico25mate,1348,14,1288,
298,,Carlosknt,1364,14,1275,
299,,RubenSiri,1510,14,1262,
300,,Clown-trip,1250,14,1238,
301,,PepoLa22,1245,14,1220,
302,,pinasok_35,1188,14,1174,
303,,victty,1224,14,1156,
304,,FaustiOro,2360,13,2159,
305,,arisedmel,1836,13,1597,
306,,The_Bleessed,1795,13,1301,
307,,takosito,1124,13,1102,
308,,ikergameplaysyt,1335,12,1687,
309,,islafuego078,1747,12,1572,
310,,elio-popipipo,1335,12,1482,
311,,ivanfelipemayorga,1499,12,1474,
312,,Sebastiansanvi26,1340,12,1439,
313,,jesussantfeliu,1622,12,1428,
314,,LautyLB,1443,12,1419,
315,,brunodiaz23,1254,12,1407,
316,,Obauern,1486,12,1386,
317,,Harry_1968,1685,12,1383,
318,,ElPadial,1105,12,1380,
319,,lucavega6,1411,12,1319,
320,,jcbata,1149,12,1319,
321,,Ryosmp,1271,12,1286,
322,,aleconva,1550,12,1281,
323,,Xian0312,923,12,1247,
324,,johanvdelden,1233,12,1172,
325,,citizenerased8,1141,12,1135,
326,,psyche-out,891,12,1096,
327,,mehers31,2268,11,1792,
328,,Dwinmachine,1584,11,1585,
329,,MacMate,1596,11,1502,
330,,nefalden,1355,11,1336,
331,,ElQueNoPerdona,1389,11,1323,
332,,Fermarod,1229,11,1300,
333,,LuisPiriz_87,1141,11,1209,
334,,jcmoaz,1069,11,1000,
